Sony

1.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,1.1\std{0.8},3.0\std{1.9},0.5\std{0.6},0.0\std{0.0},0.7\std{0.4},3.5\std{2.4}
bdd,0.7\std{0.7},1.8\std{1.7},0.4\std{0.4},0.0\std{0.0},0.7\std{0.8},2.0\std{1.7}


0.1,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,12.9\std{1.3},28.2\std{2.1},10.5\std{1.3},1.0\std{0.2},13.2\std{1.0},26.5\std{2.8}
bdd,22.2\std{1.8},41.4\std{3.3},20.8\std{1.1},2.0\std{0.4},21.1\std{1.6},41.6\std{1.7}


0.05,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,13.6\std{0.8},29.7\std{1.7},10.8\std{0.7},1.2\std{0.1},13.8\std{0.3},27.6\std{1.8}
bdd,21.5\std{0.2},42.1\std{1.0},19.0\std{0.6},2.7\std{0.2},19.9\std{0.2},39.6\std{0.6}


0.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,0.4\std{0.2},1.2\std{0.5},0.2\std{0.1},0.1\std{0.0},0.6\std{0.2},0.8\std{0.6}
bdd,10.1\std{1.2},19.7\std{3.4},9.1\std{0.7},1.5\std{0.3},9.3\std{1.6},16.7\std{2.0}


Nikon

1.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,1.3\std{0.7},3.6\std{1.8},0.8\std{0.4},0.0\std{0.0},0.7\std{0.6},4.8\std{2.1}
bdd,1.6\std{0.9},4.2\std{1.8},1.0\std{0.6},0.0\std{0.0},0.8\std{0.5},6.3\std{3.4}


0.1,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,15.0\std{0.6},28.4\std{1.0},14.1\std{0.8},1.1\std{0.2},14.0\std{1.2},34.8\std{0.1}
bdd,20.0\std{0.4},37.0\std{0.5},18.5\std{0.5},2.1\std{0.2},18.6\std{0.4},44.5\std{1.9}


0.05,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,15.6\std{0.5},29.9\std{1.0},14.2\std{0.8},1.3\std{0.2},15.0\std{0.5},35.4\std{0.8}
bdd,21.0\std{0.5},39.6\std{0.7},18.8\std{0.5},2.6\std{0.1},19.4\std{0.5},45.1\std{1.1}


0.0,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l
city,0.9\std{0.3},1.8\std{0.6},0.8\std{0.3},0.1\std{0.1},1.2\std{0.5},2.8\std{0.4}
bdd,11.7\std{0.6},21.7\std{1.2},10.6\std{0.0},1.2\std{0.2},10.3\std{0.9},23.8\std{0.9}


